Nom du cours,Durée,Niveau,Lien,Progression
Intro to Coding with Python Turtle [2022],1h 13m,Entry Level,https://academy.zenva.com/course/intro-to-coding-with-python-turtle-2022/,73%
Python Turtle Mini-Projects [2022],2h 10m,-,https://academy.zenva.com/course/python-turtle-mini-projects-2022/,
Build a Medical Diagnosis Bot with Python,1h 48m,Beginner,https://academy.zenva.com/course/build-a-medical-diagnosis-bot-with-python/,
Python Projects – Object-Oriented Game,2h 27m,Beginner,https://academy.zenva.com/course/create-an-escape-room-with-python/,
Intermediate Python – Learn Pygame by Making a Game,2h 34m,Intermediate,https://academy.zenva.com/course/learn-python-and-pygame-by-making-a-game/,
Machine Learning with Python and Tensorflow,2h 34m,Intermediate,https://academy.zenva.com/course/machine-learning-for-beginners-with-tensorflow/,
Convolutional Neural Networks for Image Classification,2h 17m,Intermediate,https://academy.zenva.com/course/convolutional-neural-networks-for-image-classification/,
The Complete Python Data Visualization Course,3h 3m,Intermediate,https://academy.zenva.com/course/the-complete-python-data-visualization-course/,
Web Scraping with Python and BeautifulSoup,1h 17m,Beginner,https://academy.zenva.com/course/web-scraping-with-python-and-beautifulsoup/,
Reading Data from APIs with Python,1h 24m,Beginner,https://academy.zenva.com/course/reading-data-from-apis-with-python/,
The Complete Kivy App Development Course,3h 13m,Intermediate,https://academy.zenva.com/course/the-complete-kivy-app-development-course/,
Python GUIs with Tkinter for Beginners,2h 18m,Beginner,https://academy.zenva.com/course/python-guis-with-tkinter-for-beginners/,
Build a Pixel Art Paint App using Tkinter,1h 47m,Intermediate,https://academy.zenva.com/course/build-a-pixel-art-paint-app-using-tkinter/,
Beginning SQL – Store and Query Your Data,1h 56m,Beginner,https://academy.zenva.com/course/beginning-sql-store-and-query-your-data/,
Intermediate SQL – Create and Alter Databases,1h 21m,Intermediate,https://academy.zenva.com/course/intermediate-sql/,
Data Insights with Cluster Analysis,2h 17m,Intermediate,https://academy.zenva.com/course/data-insights-with-cluster-analysis/,
Data Manipulation with Pandas,1h 22m,Beginner,https://academy.zenva.com/course/data-manipulation-with-pandas/,
Data Analysis with Pandas,1h 39m,Intermediate,https://academy.zenva.com/course/data-analysis-with-pandas/,
Probability Foundations for Data Science,1h 30m,Intermediate,https://academy.zenva.com/course/probability-foundations-for-data-science/,
Intro to Object-Oriented Programming with Python,2h 39m,Beginner,https://academy.zenva.com/course/python-programming-for-beginners/,
